Compound ID,Smiles,pIC50,LogP,MW,nAR,HBA,HBD,nRings,nRB,TPSA
CHEMBL113324,CCCc1cc(Oc2ccc(S(C)(=O)=O)cc2)ccc1OCCCOc1ccc2c(c1)OC(CC)(C(=O)O)CC2,6.431798276,6.2412,568.688,3,7,1,4,13,108.36
CHEMBL114286,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc2c(c1)CCC(C)(C(=O)O)O2,5.769551079,6.4476,476.569,3,5,1,4,11,74.22
CHEMBL1172425,CSc1nc(SCc2ccccc2)c(C(=O)O)c(SCc2ccccc2)n1,5.747146969,5.4813,414.577,3,6,1,3,8,63.08
CHEMBL1173380,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,4.522878745,7.6689,338.576,0,1,1,0,19,37.3
CHEMBL1173381,CCCCCCCCCCCCCCCCCCCC(=O)O,4.522878745,7.1127,312.538,0,1,1,0,18,37.3
CHEMBL1173451,O=C(O)c1ccccc1-c1ccccc1C(=O)Nc1ccc2c(c1)-c1ccccc1C2,5.455931956,5.8753,405.453,4,2,2,5,4,66.4
CHEMBL1173474,CCCCCCCCCCCCCCCCCCCCCC(=O)O,4.522878745,7.8929,340.592,0,1,1,0,20,37.3
CHEMBL117578,CCCc1cc(C(=O)c2ccc(Cl)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,6.841637508,6.3955,524.038,3,6,1,4,11,81.7
CHEMBL117738,CCCc1cc(C=C2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,6.823908741,6.8586,479.642,2,5,1,4,10,64.63
CHEMBL117918,CCCc1cc(C2CCOCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,6.124938737,4.6885,453.535,2,6,1,4,10,83.09
CHEMBL118251,CCCc1cc(C2CCCCCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,6.193820026,6.2323,465.59,2,5,1,4,10,73.86
CHEMBL118753,CCCc1cc(OC2CCCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,7.070581074,6.6127,497.657,2,6,1,4,11,73.86
CHEMBL118756,CCCc1cc(C2CCCCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,6.30980392,5.8422,451.563,2,5,1,4,10,73.86
